,url,keyword,terms,error,access_date
3,https://www.builtinnyc.com/job/product/manager-product-manager-consumer-identity/232263,We want you if you are,"[""Intellectually Curious .  You ask why, you explore, you're not afraid to blurt out your crazy idea or follow an email chain for weeks to find someone with an answer. Comfortable with ambiguity, a hunger to learn and a seeker of new challenges."", ""Communicator & Influencer.  You can communicate complex ideas clearly regardless of your audience. Our team knows their priorities and why they're doing what they're doing. You always can rally associates to work with you."", ""Do-er.  You're biased toward action, you try things and sometimes you fail. You can get around roadblocks and stay focused on your goals. You're well organized, able to multitask and able to prioritize your work."", ""Passionate & Customer Focus .  You care about growing others and bringing them together around what's possible. You get a thrill from the journey of building and shipping products, and you have a desire and ability to connect with our external or internal customers to fully understand their needs."", 'Learner.  You have an appetite to learn new things or new technologies all while exhibiting humbleness when the time comes to ask for help.', 'Team Player.  You enjoy working with diverse people and driving the team toward a common goal. You have the ability to put the team before yourself and establish long-lasting relationships.']",,2023-08-14 21:30:33.477089
5,https://www.builtinnyc.com/job/product/staff-product-manager/226088,Requirements,"Many backgrounds could fit this role, but ideal candidates will have some or all of the following:",,2023-08-14 21:31:34.965630
6,https://www.builtinnyc.com/job/product/product-manager-project-finance/95845,WHAT WE'RE LOOKING FOR,"['5-7 years Product Management experience', 'Previous experience in Project Finance and/ or Structured Finance', 'Excellent understanding of the Project Finance market, industry players and trends', 'Previous product management experience in SaaS, B2B product offering', 'Client facing experience', 'Exceptional people and collaboration skills', 'Independent, responsible and goal-oriented working style']",,2023-08-14 21:31:35.676695
7,https://www.builtinnyc.com/job/product/technical-product-manager-ios/229076,Requirements,"['Facilitate estimation sessions with the team to obtain high level roadmap estimates and RAID logs', 'Be a constant source of product information and direction for the team', 'Support the team in delivering high impact, high quality work that is built with focus on optimal user experience']",,2023-08-14 21:31:36.678797
8,https://www.builtinnyc.com/job/product/product-manager-structured-finance/105101,WHAT WE'RE LOOKING FOR,"['Previous experience in Structured Finance origination, syndication or investment, portfolio analysis', 'Excellent understanding of the Structured Finance market, industry players and trends', 'Previous product management experience in SaaS, B2B product offering', 'Client facing experience', 'Exceptional people and collaboration skills', 'Independent, responsible and goal-oriented working style']",,2023-08-14 21:31:37.204396
9,https://www.builtinnyc.com/job/product/sr-product-manager-audience-platform/229218,Requirements,Who you are:,,2023-08-14 21:31:38.146224
0,https://www.builtinnyc.com/job/product/manager-product-manager-cloud-cost-optimization/232258,We want you if you are,"[""Intellectually Curious .  You ask why, you explore, you're not afraid to blurt out your crazy idea or follow an email chain for weeks to find someone with an answer. Comfortable with ambiguity, a hunger to learn and a seeker of new challenges."", ""Communicator & Influencer.  You can communicate complex ideas clearly regardless of your audience. Our team knows their priorities and why they're doing what they're doing. You always can rally associates to work with you."", ""Do-er.  You're biased toward action, you try things and sometimes you fail. You can get around roadblocks and stay focused on your goals. You're well organized, able to multitask and able to prioritize your work."", ""Passionate & Customer Focus .  You care about growing others and bringing them together around what's possible. You get a thrill from the journey of building and shipping products, and you have a desire and ability to connect with our external or internal customers to fully understand their needs."", 'Learner.  You have an appetite to learn new things or new technologies all while exhibiting humbleness when the time comes to ask for help.', 'Team Player.  You enjoy working with diverse people and driving the team toward a common goal. You have the ability to put the team before yourself and establish long-lasting relationships.']",,2023-08-14 21:31:52.236537
1,https://www.builtinnyc.com/job/product/senior-product-manager-lab-genomics-data/229052,Requirements,"['6+ years of hands-on Product Management or other related experience focused on data pipelines and platforms', 'Must have experience with Lab and/or Genomics data', 'Experience as the owner of a product or major product component, including roadmap, feature planning, as well as the design and build of product features', 'Experience working on data pipelines, such as designing ETL/ELT processes, schemas, QC checks, and data monitoring', 'Experience designing transformations, mappings, and working with reference tables', 'Comfortable with SQL', 'Experience communicating with customers, including product roadmap, feedback discussions, and presenting complex concepts in easy-to-understand terms', 'Experience investigating data issues and working with Analysts and Data Scientists as needed for complex analysis', 'Energized by working through complex problems and a focus on bringing innovation, scalability, and productization to data', 'BA/BS degree in Computer Science, Engineering, Math, or a related technical field']",,2023-08-14 21:31:52.845634
2,https://www.builtinnyc.com/job/product/senior-product-manager-advertising/232106,You Have,,,2023-08-14 21:31:53.494654
4,https://www.builtinnyc.com/job/product/senior-technical-product-manager-ar/225382,Requirements,"['5+ years of product management experience with some experience in AR.', ""Minimum of Bachelor's Degree in Computer Science or relevant professional experience."", 'Mission-driven, and excited about working in the mental health space.', 'Experience working and achieving success with diverse stakeholders.', 'Entrepreneurial mindset and experience building products from ""zero to one.""', 'Experience working with distributed software engineering, design, and research teams.', 'Exceptional communication and presentation skills.']",,2023-08-14 21:32:37.944210
